x Q2 F2 STAT+SYST
1.0000e-03 2.0000e+00 5.1200e-01 -5.6320e-04
3.2000e-03 2.0000e+00 4.2800e-01 -3.5952e-03
1.3000e-02 2.0000e+00 3.5800e-01 -4.3318e-03
5.0000e-05 2.7000e+00 9.1300e-01 4.8276e-03
5.0000e-05 2.7000e+00 9.0100e-01 8.8200e-04
8.0000e-05 2.7000e+00 8.9900e-01 6.6900e-03
8.0000e-05 2.7000e+00 8.9200e-01 2.6580e-03
1.3000e-04 2.7000e+00 8.0600e-01 1.9296e-03
2.0000e-04 2.7000e+00 7.8000e-01 7.8000e-04
3.2000e-04 2.7000e+00 7.0200e-01 6.3180e-04
5.0000e-04 2.7000e+00 6.4700e-01 1.9410e-03
8.0000e-04 2.7000e+00 5.9600e-01 1.1920e-03
1.3000e-03 2.7000e+00 5.7000e-01 -9.1200e-04
2.0000e-03 2.7000e+00 4.8400e-01 1.5972e-03
5.0000e-03 2.7000e+00 4.6000e-01 -4.1400e-03
2.0000e-02 2.7000e+00 3.5800e-01 -6.4440e-03
8.0000e-05 3.5000e+00 9.9700e-01 4.2097e-03
8.0000e-05 3.5000e+00 9.7200e-01 1.3356e-03
1.3000e-04 3.5000e+00 9.2800e-01 2.3972e-03
2.0000e-04 3.5000e+00 8.6000e-01 1.8018e-03
3.2000e-04 3.5000e+00 7.9600e-01 3.1800e-04
5.0000e-04 3.5000e+00 7.5400e-01 2.4882e-03
8.0000e-04 3.5000e+00 6.6300e-01 1.5912e-03
1.3000e-03 3.5000e+00 6.2700e-01 1.0659e-03
2.0000e-03 3.5000e+00 5.7100e-01 8.5650e-04
8.0000e-03 3.5000e+00 4.6300e-01 0.0000e+00
1.3000e-04 4.5000e+00 1.0290e+00 3.5525e-03
1.3000e-04 4.5000e+00 1.0450e+00 2.1651e-03
2.0000e-04 4.5000e+00 9.7200e-01 2.4175e-03
3.2000e-04 4.5000e+00 8.9900e-01 1.2572e-03
5.0000e-04 4.5000e+00 8.0100e-01 2.0000e-03
8.0000e-04 4.5000e+00 7.2400e-01 1.1584e-03
1.3000e-03 4.5000e+00 6.6900e-01 6.0210e-04
2.0000e-03 4.5000e+00 6.1800e-01 1.4832e-03
3.2000e-03 4.5000e+00 5.7500e-01 1.6675e-03
1.3000e-02 4.5000e+00 4.3200e-01 3.1968e-03
1.3000e-04 6.5000e+00 1.2270e+00 4.6020e-03
1.3000e-04 6.5000e+00 1.1670e+00 1.1220e-04
2.0000e-04 6.5000e+00 1.1340e+00 4.5838e-03
2.0000e-04 6.5000e+00 1.1470e+00 2.7144e-03
3.2000e-04 6.5000e+00 1.0100e+00 1.0060e-03
5.0000e-04 6.5000e+00 9.3900e-01 1.2194e-03
8.0000e-04 6.5000e+00 8.5700e-01 2.5710e-03
1.3000e-03 6.5000e+00 7.6100e-01 8.3710e-04
2.0000e-03 6.5000e+00 6.9900e-01 2.0970e-03
3.2000e-03 6.5000e+00 6.4400e-01 7.0840e-04
5.0000e-03 6.5000e+00 5.8100e-01 1.6268e-03
1.3000e-02 6.5000e+00 4.8500e-01 3.9285e-03
2.0000e-02 6.5000e+00 4.9700e-01 1.9383e-03
2.0000e-04 8.5000e+00 1.2580e+00 3.2967e-03
2.0000e-04 8.5000e+00 1.2130e+00 -1.1780e-04
3.2000e-04 8.5000e+00 1.1260e+00 1.7840e-03
5.0000e-04 8.5000e+00 1.0260e+00 1.5330e-03
8.0000e-04 8.5000e+00 9.3700e-01 8.4240e-04
1.3000e-03 8.5000e+00 8.4500e-01 2.1100e-03
2.0000e-03 8.5000e+00 7.7300e-01 1.0822e-03
3.2000e-03 8.5000e+00 6.6400e-01 1.7928e-03
5.0000e-03 8.5000e+00 6.3500e-01 2.3495e-03
2.0000e-02 8.5000e+00 4.5800e-01 2.0152e-03
2.0000e-04 1.0000e+01 1.3060e+00 2.8704e-03
3.2000e-04 1.0000e+01 1.1690e+00 -3.4590e-04
5.0000e-04 1.0000e+01 1.0740e+00 -2.3518e-03
