x Q2 F2 STAT+SYST
6.5000e-01 2.0000e+04 1.4000e-02 -3.2200e-05
2.0000e-03 9.0000e+01 1.2920e+00 -3.2682e-03
2.0000e-03 1.2000e+02 1.3900e+00 3.4242e-03
3.2000e-03 1.2000e+02 1.2110e+00 -1.7880e-03
3.2000e-03 1.5000e+02 1.2380e+00 -5.8996e-03
5.0000e-03 1.5000e+02 1.1470e+00 -1.7055e-03
8.0000e-03 1.5000e+02 9.5100e-01 2.8470e-03
5.0000e-03 2.0000e+02 1.1470e+00 -2.7096e-03
8.0000e-03 2.0000e+02 9.4300e-01 -1.0340e-03
1.3000e-02 2.0000e+02 8.2600e-01 4.1300e-04
2.0000e-02 2.0000e+02 7.0600e-01 2.8280e-04
3.2000e-02 2.0000e+02 5.8000e-01 5.8100e-04
5.0000e-02 2.0000e+02 4.9900e-01 1.5000e-04
8.0000e-02 2.0000e+02 4.1800e-01 2.0950e-04
1.8000e-01 2.0000e+02 3.1900e-01 0.0000e+00
5.0000e-03 2.5000e+02 1.1480e+00 -3.0159e-03
8.0000e-03 2.5000e+02 1.0010e+00 -1.2922e-03
1.3000e-02 2.5000e+02 8.4400e-01 -6.7520e-04
2.0000e-02 2.5000e+02 6.9600e-01 3.4850e-04
3.2000e-02 2.5000e+02 5.9600e-01 8.9700e-04
5.0000e-02 2.5000e+02 5.0900e-01 7.1540e-04
8.0000e-02 2.5000e+02 4.2700e-01 1.2840e-04
1.3000e-01 2.5000e+02 3.1600e-01 1.3314e-03
1.8000e-01 2.5000e+02 2.9900e-01 0.0000e+00
2.5000e-01 2.5000e+02 2.3100e-01 1.0164e-03
4.0000e-01 2.5000e+02 1.4000e-01 -7.0000e-05
5.0000e-03 3.0000e+02 1.2030e+00 0.0000e+00
8.0000e-03 3.0000e+02 1.0110e+00 -2.1021e-03
1.3000e-02 3.0000e+02 8.5700e-01 -1.0272e-03
2.0000e-02 3.0000e+02 7.2300e-01 -7.2500e-05
3.2000e-02 3.0000e+02 5.9000e-01 1.7760e-04
5.0000e-02 3.0000e+02 5.1900e-01 0.0000e+00
8.0000e-02 3.0000e+02 4.2500e-01 2.1300e-04
1.3000e-01 3.0000e+02 3.3500e-01 8.7360e-04
1.8000e-01 3.0000e+02 3.0900e-01 -6.2000e-05
2.5000e-01 3.0000e+02 2.8600e-01 1.4637e-03
4.0000e-01 3.0000e+02 1.4500e-01 1.0220e-04
8.0000e-03 4.0000e+02 1.0640e+00 -2.3989e-03
1.3000e-02 4.0000e+02 8.7000e-01 -1.9096e-03
2.0000e-02 4.0000e+02 7.1600e-01 1.1504e-03
3.2000e-02 4.0000e+02 5.8900e-01 -7.0920e-04
5.0000e-02 4.0000e+02 5.0800e-01 7.6650e-04
8.0000e-02 4.0000e+02 4.3300e-01 2.1750e-04
1.3000e-01 4.0000e+02 3.7500e-01 3.7600e-04
2.5000e-01 4.0000e+02 2.6700e-01 2.9480e-04
4.0000e-01 4.0000e+02 1.4700e-01 2.7930e-04
1.3000e-02 5.0000e+02 1.0030e+00 -3.9000e-03
2.0000e-02 5.0000e+02 7.6000e-01 -2.5179e-03
3.2000e-02 5.0000e+02 6.0000e-01 -2.4160e-04
5.0000e-02 5.0000e+02 5.1500e-01 8.8060e-04
8.0000e-02 5.0000e+02 3.9400e-01 1.0692e-03
1.3000e-01 5.0000e+02 3.6100e-01 1.8513e-03
1.8000e-01 5.0000e+02 2.8700e-01 1.1271e-03
2.5000e-01 5.0000e+02 2.5800e-01 1.1914e-03
4.0000e-01 5.0000e+02 1.4300e-01 2.7360e-04
6.5000e-01 5.0000e+02 2.7000e-02 2.5920e-04
1.3000e-02 6.5000e+02 9.5900e-01 -1.6150e-03
2.0000e-02 6.5000e+02 7.9000e-01 -1.8262e-03
3.2000e-02 6.5000e+02 6.3800e-01 -8.3850e-04
5.0000e-02 6.5000e+02 5.2000e-01 -2.1000e-04
8.0000e-02 6.5000e+02 4.1500e-01 7.9610e-04
1.3000e-01 6.5000e+02 3.4100e-01 -4.8160e-04
1.8000e-01 6.5000e+02 3.3300e-01 2.1504e-03
2.5000e-01 6.5000e+02 2.5700e-01 3.1080e-04
4.0000e-01 6.5000e+02 8.7000e-02 -5.6320e-04
2.0000e-02 8.0000e+02 8.0300e-01 -1.0504e-03
3.2000e-02 8.0000e+02 6.5300e-01 -1.1254e-03
5.0000e-02 8.0000e+02 5.8100e-01 8.2600e-04
8.0000e-02 8.0000e+02 4.9400e-01 6.0120e-04
1.3000e-01 8.0000e+02 3.6300e-01 3.3120e-04
1.8000e-01 8.0000e+02 3.0000e-01 1.3332e-03
2.5000e-01 8.0000e+02 2.3900e-01 0.0000e+00
4.0000e-01 8.0000e+02 1.1900e-01 7.2000e-04
6.5000e-01 8.0000e+02 1.5000e-02 6.0000e-06
2.0000e-02 1.0000e+03 7.7000e-01 -4.5784e-03
3.2000e-02 1.0000e+03 5.5600e-01 -2.0412e-03
5.0000e-02 1.0000e+03 5.6300e-01 -6.9000e-04
8.0000e-02 1.0000e+03 4.4400e-01 1.4043e-03
1.3000e-01 1.0000e+03 4.8600e-01 0.0000e+00
1.8000e-01 1.0000e+03 2.4600e-01 1.2500e-04
2.5000e-01 1.0000e+03 3.1100e-01 2.9610e-03
4.0000e-01 1.0000e+03 1.2300e-01 3.5960e-04
2.0000e-02 1.2000e+03 7.3500e-01 -1.1856e-03
3.2000e-02 1.2000e+03 6.0900e-01 -1.0000e-03
5.0000e-02 1.2000e+03 5.3600e-01 -1.6560e-04
8.0000e-02 1.2000e+03 4.1300e-01 -1.2720e-04
1.3000e-01 1.2000e+03 3.5500e-01 -7.2600e-05
1.8000e-01 1.2000e+03 3.3400e-01 1.3640e-03
2.5000e-01 1.2000e+03 2.6100e-01 7.9800e-05
4.0000e-01 1.2000e+03 1.0300e-01 3.3280e-04
3.2000e-02 1.5000e+03 7.0700e-01 -1.4640e-03
5.0000e-02 1.5000e+03 5.5500e-01 -4.0460e-04
8.0000e-02 1.5000e+03 4.5200e-01 -4.2210e-04
1.3000e-01 1.5000e+03 3.8600e-01 -2.3940e-04
1.8000e-01 1.5000e+03 3.0200e-01 -1.2400e-04
2.5000e-01 1.5000e+03 2.4200e-01 4.2160e-04
4.0000e-01 1.5000e+03 1.4200e-01 6.9600e-04
6.5000e-01 1.5000e+03 1.4000e-02 6.4400e-05
5.0000e-02 2.0000e+03 5.2400e-01 -7.8120e-04
8.0000e-02 2.0000e+03 4.5200e-01 1.4370e-04
1.3000e-01 2.0000e+03 3.1000e-01 3.5860e-04
1.8000e-01 2.0000e+03 2.5800e-01 -3.2400e-04
2.5000e-01 2.0000e+03 2.4800e-01 -5.1600e-05
4.0000e-01 2.0000e+03 1.0100e-01 1.8720e-04
5.0000e-02 3.0000e+03 5.5800e-01 -2.7544e-03
8.0000e-02 3.0000e+03 4.4600e-01 -4.4820e-04
1.3000e-01 3.0000e+03 3.8700e-01 8.0750e-04
1.8000e-01 3.0000e+03 2.9400e-01 -2.8800e-04
2.5000e-01 3.0000e+03 2.4900e-01 1.6020e-04
4.0000e-01 3.0000e+03 1.3700e-01 5.6550e-04
6.5000e-01 3.0000e+03 1.9000e-02 1.2000e-05
1.3000e-01 5.0000e+03 3.9400e-01 -9.5800e-04
1.8000e-01 5.0000e+03 3.5900e-01 -4.2500e-05
2.5000e-01 5.0000e+03 2.6200e-01 6.0400e-04
4.0000e-01 5.0000e+03 1.1200e-01 -3.9060e-04
6.5000e-01 5.0000e+03 9.0000e-03 6.3000e-05
1.8000e-01 8.0000e+03 2.8500e-01 -6.9480e-04
2.5000e-01 8.0000e+03 2.3300e-01 1.5050e-04
4.0000e-01 8.0000e+03 1.3100e-01 -4.8300e-04
6.5000e-01 8.0000e+03 1.7000e-02 -4.0000e-06
2.5000e-01 1.2000e+04 1.8900e-01 -1.4100e-03
4.0000e-01 1.2000e+04 6.8000e-02 -1.0230e-04
4.0000e-01 2.0000e+04 1.1800e-01 -4.8500e-04
6.5000e-01 2.0000e+04 9.0000e-03 -5.2000e-05
